Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,Source,ObjectId
2020,1,1,2668,APC,1615
2020,1,2,5746,APC,1616
2020,1,3,8426,APC,1617
2020,1,4,7208,APC,1618
2020,1,5,3671,APC,1619
2020,1,6,5886,APC,1620
2020,1,7,5324,APC,1621
2020,1,8,3047,APC,1622
2020,1,9,4642,APC,1623
2020,1,12,2626,APC,1626
2020,1,14,5937,APC,1628
2020,1,16,7136,APC,1630
2020,1,17,9620,APC,1631
2020,1,18,14601,APC,1632
2020,1,19,1392,APC,1633
2020,1,20,5109,APC,1634
2020,1,21,9556,APC,1635
2020,1,22,4306,APC,1636
2020,1,23,17099,APC,1637
2020,1,24,2335,APC,1638
2020,1,25,4487,APC,1639
2020,1,26,11646,APC,1640
2020,1,27,4149,APC,1641
2020,1,28,1985,APC,1642
2020,1,29,4194,APC,1643
2020,1,30,1403,APC,1644
2020,1,31,4837,APC,1645
2020,1,32,5101,APC,1646
2020,1,33,11345,APC,1647
2020,1,35,131,APC,1649
2020,1,37,3408,APC,1651
2020,1,38,2734,APC,1652
2020,1,39,2536,APC,1653
2020,1,40,7448,APC,1654
2020,1,42,9281,APC,1655
2020,1,43,3447,APC,1656
2020,1,44,3507,APC,1657
2020,1,45,6128,APC,1658
2020,1,46,5879,APC,1659
2020,1,47,17054,APC,1660
2020,1,48,7641,APC,1661
2020,1,49,3087,APC,1662
2020,1,50,1996,APC,1663
2020,1,52,14268,APC,1664
2020,1,53,2907,APC,1665
2020,1,54,6961,APC,1666
2020,1,55,4749,APC,1667
2020,1,56,11949,APC,1668
2020,1,57,10437,APC,1669
2020,1,58,8318,APC,1670
2020,1,59,4564,APC,1671
2020,1,60,11137,APC,1672
2020,1,61,4607,APC,1673
2020,1,62,237,APC,1674
2020,1,64,5931,APC,1675
2020,1,65,8475,APC,1676
2020,1,66,10865,APC,1677
2020,1,67,4962,APC,1678
2020,1,68,2215,APC,1679
2020,1,70,8872,APC,1680
2020,1,73,2488,APC,1681
2020,1,75,3312,APC,1682
2020,1,77,844,APC,1683
2020,1,78,76,APC,1684
2020,1,79,5565,APC,1685
2020,1,80,208,APC,1686
2020,1,84,3668,APC,1687
2020,1,88,2432,APC,1688
2020,1,89,1870,APC,1689
2020,1,90,407,APC,1690
2020,1,92,278,APC,1691
2020,1,93,1158,APC,1692
2020,1,94,405,APC,1693
2020,1,95,535,APC,1694
2020,1,96,1252,APC,1695
2020,1,97,598,APC,1696
2020,1,98,968,APC,1697
2020,1,99,1212,APC,1698
2020,1,103,1293,APC,1701
2020,1,104,3137,APC,1702
2020,1,105,1201,APC,1703
2020,1,106,1255,APC,1704
2020,1,107,1005,APC,1705
2020,1,108,5261,APC,1706
2020,1,109,4390,APC,1707
2020,1,110,2010,APC,1708
2020,1,111,1497,APC,1709
2020,1,112,1167,APC,1710
2020,1,113,6678,APC,1711
2020,1,114,1846,APC,1712
2020,1,115,1125,APC,1713
2020,1,117,1945,APC,1714
2020,1,118,471,APC,1715
2020,1,119,698,APC,1716
2020,1,120,379,APC,1717
2020,1,123,917,APC,1718
2020,1,124,1811,APC,1719
2020,1,125,2206,APC,1720
2020,1,126,628,APC,1721
2020,1,127,297,APC,1722
2020,1,128,385,APC,1723
2020,1,129,902,APC,1724
2020,1,130,496,APC,1725
2020,1,131,655,APC,1726
2020,1,132,339,APC,1727
2020,1,133,71,APC,1728
2020,1,139,381,APC,1729
2020,1,150,39,APC,1730
2020,1,201,153,APC,1731
2020,1,204,197,APC,1732
2020,1,206,153,APC,1733
2020,1,310,392,APC,1734
2020,1,311,215,APC,1735
2020,2,1,2712,APC,1749
2020,2,2,6200,APC,1750
2020,2,3,9226,APC,1751
2020,2,4,7305,APC,1752
2020,2,5,3823,APC,1753
2020,2,6,5911,APC,1754
2020,2,7,5504,APC,1755
2020,2,8,3177,APC,1756
2020,2,9,4642,APC,1757
2020,2,12,2623,APC,1760
2020,2,14,5905,APC,1762
2020,2,16,7456,APC,1764
2020,2,17,9765,APC,1765
2020,2,18,14717,APC,1766
2020,2,19,1468,APC,1767
2020,2,20,4863,APC,1768
