X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8369677.03089826,4864779.809398,1,7644N,Bus,7,Northbound,644,33rd St & Dauphin St Loop,39.992,-75.186088,Fall 2024,0,38,0,34,0,23
-8369658.3292238,4864975.53076835,2,7656N,Bus,7,Northbound,656,York St & 33rd St,39.993347,-75.18592,Fall 2024,13,21,14,12,17,16
-8366738.4189803,4853660.54244195,3,7732N,Bus,7,Northbound,732,Oregon Av & 7th St,39.915431,-75.15969,Fall 2024,56,13,36,14,27,15
-8367263.29037939,4853753.14071141,4,7999N,Bus,7,Northbound,999,Oregon Av & 10th St,39.916069,-75.164405,Fall 2024,35,24,16,15,28,16
-8368497.37825432,4859998.11285636,5,72850N,Bus,7,Northbound,2850,22nd St & Winter St,39.959083,-75.175491,Fall 2024,3,8,1,8,5,2
-8369105.40531303,4861802.76312242,6,72880N,Bus,7,Northbound,2880,27th St & Parrish St,39.971508,-75.180953,Fall 2024,0,6,1,8,0,6
-8369205.70417424,4863281.15044479,7,72886N,Bus,7,Northbound,2886,29th St & Cecil B Moore Av,39.981685,-75.181854,Fall 2024,17,40,12,27,7,16
-8369166.63103297,4863500.66840603,8,72896N,Bus,7,Northbound,2896,29th St & Montgomery Av,39.983196,-75.181503,Fall 2024,6,21,3,14,5,7
-8369239.65661893,4863073.40462824,9,72900N,Bus,7,Northbound,2900,29th St & Oxford St,39.980255,-75.182159,Fall 2024,10,16,6,10,2,14
-8369023.02888985,4864381.8399852,10,72906N,Bus,7,Northbound,2906,29th St & Susquehanna Av,39.989261,-75.180213,Fall 2024,2,19,2,7,1,10
-8368458.30511305,4860249.65489595,11,73107N,Bus,7,Northbound,3107,22nd St & Ben Franklin Pkwy,39.960815,-75.17514,Fall 2024,2,8,2,6,2,6
-8368296.11261497,4861177.16230304,12,73124N,Bus,7,Northbound,3124,22nd St & Fairmount Av,39.967201,-75.173683,Fall 2024,9,45,3,42,2,25
